,loss_classifier,loss_box_reg,loss_mask,loss_objectness,loss_rpn_box_reg,loss
0,"tensor(0.3546, device='cuda:0')","tensor(0.3017, device='cuda:0')","tensor(0.2576, device='cuda:0')","tensor(0.0507, device='cuda:0')","tensor(0.0891, device='cuda:0')","tensor(1.0536, device='cuda:0')"
0,"tensor(0.2974, device='cuda:0')","tensor(0.2797, device='cuda:0')","tensor(0.3051, device='cuda:0')","tensor(0.0425, device='cuda:0')","tensor(0.0753, device='cuda:0')","tensor(1.0000, device='cuda:0')"
0,"tensor(0.1265, device='cuda:0')","tensor(0.0694, device='cuda:0')","tensor(0.2091, device='cuda:0')","tensor(0.0285, device='cuda:0')","tensor(0.0087, device='cuda:0')","tensor(0.4422, device='cuda:0')"
0,"tensor(0.2942, device='cuda:0')","tensor(0.2115, device='cuda:0')","tensor(0.3108, device='cuda:0')","tensor(0.0446, device='cuda:0')","tensor(0.0454, device='cuda:0')","tensor(0.9065, device='cuda:0')"
0,"tensor(0.2072, device='cuda:0')","tensor(0.1522, device='cuda:0')","tensor(0.2286, device='cuda:0')","tensor(0.0460, device='cuda:0')","tensor(0.0455, device='cuda:0')","tensor(0.6794, device='cuda:0')"
0,"tensor(0.2298, device='cuda:0')","tensor(0.1855, device='cuda:0')","tensor(0.2437, device='cuda:0')","tensor(0.0228, device='cuda:0')","tensor(0.0283, device='cuda:0')","tensor(0.7101, device='cuda:0')"
0,"tensor(0.2181, device='cuda:0')","tensor(0.1541, device='cuda:0')","tensor(0.3639, device='cuda:0')","tensor(0.0596, device='cuda:0')","tensor(0.0134, device='cuda:0')","tensor(0.8091, device='cuda:0')"
0,"tensor(0.4280, device='cuda:0')","tensor(0.2722, device='cuda:0')","tensor(0.2633, device='cuda:0')","tensor(0.0425, device='cuda:0')","tensor(0.0355, device='cuda:0')","tensor(1.0415, device='cuda:0')"
0,"tensor(0.2968, device='cuda:0')","tensor(0.2747, device='cuda:0')","tensor(0.3865, device='cuda:0')","tensor(0.0726, device='cuda:0')","tensor(0.0585, device='cuda:0')","tensor(1.0891, device='cuda:0')"
0,"tensor(0.2998, device='cuda:0')","tensor(0.2741, device='cuda:0')","tensor(0.3036, device='cuda:0')","tensor(0.0466, device='cuda:0')","tensor(0.0364, device='cuda:0')","tensor(0.9604, device='cuda:0')"
0,"tensor(0.3079, device='cuda:0')","tensor(0.2335, device='cuda:0')","tensor(0.3230, device='cuda:0')","tensor(0.0706, device='cuda:0')","tensor(0.0984, device='cuda:0')","tensor(1.0333, device='cuda:0')"
0,"tensor(0.1301, device='cuda:0')","tensor(0.0985, device='cuda:0')","tensor(0.2687, device='cuda:0')","tensor(0.0251, device='cuda:0')","tensor(0.0120, device='cuda:0')","tensor(0.5344, device='cuda:0')"
0,"tensor(0.1503, device='cuda:0')","tensor(0.1007, device='cuda:0')","tensor(0.2852, device='cuda:0')","tensor(0.0992, device='cuda:0')","tensor(0.0222, device='cuda:0')","tensor(0.6575, device='cuda:0')"
0,"tensor(0.3954, device='cuda:0')","tensor(0.2731, device='cuda:0')","tensor(0.3365, device='cuda:0')","tensor(0.1374, device='cuda:0')","tensor(0.0593, device='cuda:0')","tensor(1.2017, device='cuda:0')"
0,"tensor(0.2271, device='cuda:0')","tensor(0.1794, device='cuda:0')","tensor(0.2806, device='cuda:0')","tensor(0.0303, device='cuda:0')","tensor(0.0367, device='cuda:0')","tensor(0.7541, device='cuda:0')"
0,"tensor(0.1574, device='cuda:0')","tensor(0.1210, device='cuda:0')","tensor(0.2932, device='cuda:0')","tensor(0.0129, device='cuda:0')","tensor(0.0146, device='cuda:0')","tensor(0.5991, device='cuda:0')"
0,"tensor(0.4448, device='cuda:0')","tensor(0.3039, device='cuda:0')","tensor(0.3061, device='cuda:0')","tensor(0.1126, device='cuda:0')","tensor(0.1281, device='cuda:0')","tensor(1.2955, device='cuda:0')"
0,"tensor(0.2894, device='cuda:0')","tensor(0.2295, device='cuda:0')","tensor(0.2791, device='cuda:0')","tensor(0.0724, device='cuda:0')","tensor(0.0375, device='cuda:0')","tensor(0.9079, device='cuda:0')"
0,"tensor(0.2249, device='cuda:0')","tensor(0.1725, device='cuda:0')","tensor(0.2737, device='cuda:0')","tensor(0.0274, device='cuda:0')","tensor(0.0171, device='cuda:0')","tensor(0.7156, device='cuda:0')"
0,"tensor(0.3059, device='cuda:0')","tensor(0.2548, device='cuda:0')","tensor(0.4646, device='cuda:0')","tensor(0.1290, device='cuda:0')","tensor(0.0871, device='cuda:0')","tensor(1.2414, device='cuda:0')"
0,"tensor(0.2362, device='cuda:0')","tensor(0.1896, device='cuda:0')","tensor(0.2865, device='cuda:0')","tensor(0.0283, device='cuda:0')","tensor(0.0368, device='cuda:0')","tensor(0.7773, device='cuda:0')"
0,"tensor(0.4242, device='cuda:0')","tensor(0.3382, device='cuda:0')","tensor(0.2781, device='cuda:0')","tensor(0.0691, device='cuda:0')","tensor(0.0756, device='cuda:0')","tensor(1.1852, device='cuda:0')"
